,Unnamed: 0,pathname,class,mode
3200,3200,currencyDataset/50_back/IMG20211228002333.jpg,50_back,val
1857,1857,currencyDataset/20_front/IMG20211228115200.jpg,20_front,val
2632,2632,currencyDataset/500_back/IMG20211228122619.jpg,500_back,val
1361,1361,currencyDataset/10_front/IMG20211228230653.jpg,10_front,val
552,552,currencyDataset/100_back/IMG20211229003138.jpg,100_back,val
2558,2558,currencyDataset/5000_front/IMG20220212172327.jpg,5000_front,val
394,394,currencyDataset/1000_front/IMG20220209114656.jpg,1000_front,val
67,67,currencyDataset/1000_back/IMG20211229001349.jpg,1000_back,val
3065,3065,currencyDataset/500_front/IMG20211229234453.jpg,500_front,val
644,644,currencyDataset/100_back/IMG20220209113217.jpg,100_back,val
3377,3377,currencyDataset/50_front/IMG20211224211310.jpg,50_front,val
891,891,currencyDataset/100_front/IMG20211230002716.jpg,100_front,val
1784,1784,currencyDataset/20_back/IMG20220215120244.jpg,20_back,val
601,601,currencyDataset/100_back/IMG20211230002937.jpg,100_back,val
3094,3094,currencyDataset/500_front/IMG20220218161623.jpg,500_front,val
1846,1846,currencyDataset/20_front/IMG20211228115112.jpg,20_front,val
2832,2832,currencyDataset/500_back/IMG20220218161910.jpg,500_back,val
1195,1195,currencyDataset/10_back/IMG20211230000857.jpg,10_back,val
75,75,currencyDataset/1000_back/IMG20211229001433.jpg,1000_back,val
3439,3439,currencyDataset/50_front/IMG20211228001848.jpg,50_front,val
1269,1269,currencyDataset/10_back/IMG20220215123001.jpg,10_back,val
2173,2173,currencyDataset/5000_back/IMG20211228235003.jpg,5000_back,val
490,490,currencyDataset/100_back/IMG20211228220352.jpg,100_back,val
32,32,currencyDataset/1000_back/IMG20211228231800.jpg,1000_back,val
2148,2148,currencyDataset/5000_back/IMG20211228234819.jpg,5000_back,val
969,969,currencyDataset/100_front/IMG20220215120726.jpg,100_front,val
932,932,currencyDataset/100_front/IMG20220212163557.jpg,100_front,val
1105,1105,currencyDataset/10_back/IMG20211228231134.jpg,10_back,val
810,810,currencyDataset/100_front/IMG20211228232711.jpg,100_front,val
2891,2891,currencyDataset/500_front/IMG20211228104602.jpg,500_front,val
72,72,currencyDataset/1000_back/IMG20211229001414.jpg,1000_back,val
666,666,currencyDataset/100_back/IMG20220212164128.jpg,100_back,val
1113,1113,currencyDataset/10_back/IMG20211228231201.jpg,10_back,val
1338,1338,currencyDataset/10_front/IMG20211228225829.jpg,10_front,val
3505,3505,currencyDataset/50_front/IMG20211228005207.jpg,50_front,val
221,221,currencyDataset/1000_back/IMG20220218160911.jpg,1000_back,val
1199,1199,currencyDataset/10_back/IMG20211230000912.jpg,10_back,val
310,310,currencyDataset/1000_front/IMG20211229001035.jpg,1000_front,val
2020,2020,currencyDataset/20_front/IMG20220215115559.jpg,20_front,val
3021,3021,currencyDataset/500_front/IMG20211229231640.jpg,500_front,val
1853,1853,currencyDataset/20_front/IMG20211228115147.jpg,20_front,val
3289,3289,currencyDataset/50_back/IMG20211228221011.jpg,50_back,val
404,404,currencyDataset/1000_front/IMG20220209114754.jpg,1000_front,val
1462,1462,currencyDataset/10_front/IMG20211230000259.jpg,10_front,val
2698,2698,currencyDataset/500_back/IMG20211228224705.jpg,500_back,val
2137,2137,currencyDataset/5000_back/IMG20211228013518.jpg,5000_back,val
1946,1946,currencyDataset/20_front/IMG20211229225909.jpg,20_front,val
2458,2458,currencyDataset/5000_front/IMG20220208014812.jpg,5000_front,val
908,908,currencyDataset/100_front/IMG20220209112559.jpg,100_front,val
2184,2184,currencyDataset/5000_back/IMG20220208015025.jpg,5000_back,val
170,170,currencyDataset/1000_back/IMG20220209115212.jpg,1000_back,val
510,510,currencyDataset/100_back/IMG20211228232939.jpg,100_back,val
2104,2104,currencyDataset/5000_back/IMG20211228013011.jpg,5000_back,val
14,14,currencyDataset/1000_back/IMG20211228225538.jpg,1000_back,val
621,621,currencyDataset/100_back/IMG20211230003110.jpg,100_back,val
2308,2308,currencyDataset/5000_back/IMG20220218162934.jpg,5000_back,val
87,87,currencyDataset/1000_back/IMG20211229001607.jpg,1000_back,val
2235,2235,currencyDataset/5000_back/IMG20220209122058.jpg,5000_back,val
1385,1385,currencyDataset/10_front/IMG20211228230812.jpg,10_front,val
2898,2898,currencyDataset/500_front/IMG20211228122006.jpg,500_front,val
345,345,currencyDataset/1000_front/IMG20211229233809.jpg,1000_front,val
1067,1067,currencyDataset/10_back/IMG20211228230306.jpg,10_back,val
821,821,currencyDataset/100_front/IMG20211229002706.jpg,100_front,val
18,18,currencyDataset/1000_back/IMG20211228225548.jpg,1000_back,val
1956,1956,currencyDataset/20_front/IMG20211229225948.jpg,20_front,val
2825,2825,currencyDataset/500_back/IMG20220218161843.jpg,500_back,val
100,100,currencyDataset/1000_back/IMG20211229234048.jpg,1000_back,val
94,94,currencyDataset/1000_back/IMG20211229001654.jpg,1000_back,val
1278,1278,currencyDataset/10_back/IMG20220218170155.jpg,10_back,val
3198,3198,currencyDataset/50_back/IMG20211228002324.jpg,50_back,val
1322,1322,currencyDataset/10_front/IMG20211228223442.jpg,10_front,val
2878,2878,currencyDataset/500_front/IMG20211228104358.jpg,500_front,val
2305,2305,currencyDataset/5000_back/IMG20220212171824.jpg,5000_back,val
991,991,currencyDataset/100_front/IMG20220218163702.jpg,100_front,val
2151,2151,currencyDataset/5000_back/IMG20211228234829.jpg,5000_back,val
1644,1644,currencyDataset/20_back/IMG20211228235145.jpg,20_back,val
1770,1770,currencyDataset/20_back/IMG20220215115908.jpg,20_back,val
1323,1323,currencyDataset/10_front/IMG20211228223446.jpg,10_front,val
1391,1391,currencyDataset/10_front/IMG20211228230908.jpg,10_front,val
183,183,currencyDataset/1000_back/IMG20220212172903.jpg,1000_back,val
2841,2841,currencyDataset/500_back/IMG20220218162013.jpg,500_back,val
408,408,currencyDataset/1000_front/IMG20220209114806.jpg,1000_front,val
779,779,currencyDataset/100_front/IMG20211228232424.jpg,100_front,val
1443,1443,currencyDataset/10_front/IMG20211229230835.jpg,10_front,val
110,110,currencyDataset/1000_back/IMG20211229234122.jpg,1000_back,val
2596,2596,currencyDataset/500_back/IMG20211228104804.jpg,500_back,val
1783,1783,currencyDataset/20_back/IMG20220215120241.jpg,20_back,val
2059,2059,currencyDataset/20_front/IMG20220218164936.jpg,20_front,val
2736,2736,currencyDataset/500_back/IMG20211228233609.jpg,500_back,val
93,93,currencyDataset/1000_back/IMG20211229001651.jpg,1000_back,val
1907,1907,currencyDataset/20_front/IMG20211228234003.jpg,20_front,val
3140,3140,currencyDataset/50_back/IMG20211228000457.jpg,50_back,val
2373,2373,currencyDataset/5000_front/IMG20211228013725.jpg,5000_front,val
1408,1408,currencyDataset/10_front/IMG20211229002012.jpg,10_front,val
1094,1094,currencyDataset/10_back/IMG20211228231030.jpg,10_back,val
2584,2584,currencyDataset/5000_front/IMG20220218162842.jpg,5000_front,val
2156,2156,currencyDataset/5000_back/IMG20211228234845.jpg,5000_back,val
571,571,currencyDataset/100_back/IMG20211229233015.jpg,100_back,val
1085,1085,currencyDataset/10_back/IMG20211228230411.jpg,10_back,val
2961,2961,currencyDataset/500_front/IMG20211228224345.jpg,500_front,val
801,801,currencyDataset/100_front/IMG20211228232625.jpg,100_front,val
2328,2328,currencyDataset/5000_back/IMG20220218163136.jpg,5000_back,val
3093,3093,currencyDataset/500_front/IMG20220218161621.jpg,500_front,val
1025,1025,currencyDataset/10_back/IMG20211228223646.jpg,10_back,val
277,277,currencyDataset/1000_front/IMG20211228231526.jpg,1000_front,val
430,430,currencyDataset/1000_front/IMG20220212173707.jpg,1000_front,val
3209,3209,currencyDataset/50_back/IMG20211228002448.jpg,50_back,val
1058,1058,currencyDataset/10_back/IMG20211228230232.jpg,10_back,val
937,937,currencyDataset/100_front/IMG20220212163624.jpg,100_front,val
678,678,currencyDataset/100_back/IMG20220215121353.jpg,100_back,val
2717,2717,currencyDataset/500_back/IMG20211228224822.jpg,500_back,val
2086,2086,currencyDataset/5000_back/IMG20211228012834.jpg,5000_back,val
2144,2144,currencyDataset/5000_back/IMG20211228013544.jpg,5000_back,val
1700,1700,currencyDataset/20_back/IMG20211229230230.jpg,20_back,val
1447,1447,currencyDataset/10_front/IMG20211229230903.jpg,10_front,val
648,648,currencyDataset/100_back/IMG20220212163946.jpg,100_back,val
1460,1460,currencyDataset/10_front/IMG20211230000236.jpg,10_front,val
1281,1281,currencyDataset/10_back/IMG20220218170322.jpg,10_back,val
2787,2787,currencyDataset/500_back/IMG20211229232228.jpg,500_back,val
1666,1666,currencyDataset/20_back/IMG20211229000623.jpg,20_back,val
2999,2999,currencyDataset/500_front/IMG20211228233305.jpg,500_front,val
832,832,currencyDataset/100_front/IMG20211229002811.jpg,100_front,val
43,43,currencyDataset/1000_back/IMG20211228231843.jpg,1000_back,val
106,106,currencyDataset/1000_back/IMG20211229234107.jpg,1000_back,val
2968,2968,currencyDataset/500_front/IMG20211228224414.jpg,500_front,val
148,148,currencyDataset/1000_back/IMG20211229235905.jpg,1000_back,val
2278,2278,currencyDataset/5000_back/IMG20220212171328.jpg,5000_back,val
3388,3388,currencyDataset/50_front/IMG20211224211620.jpg,50_front,val
2176,2176,currencyDataset/5000_back/IMG20211228235016.jpg,5000_back,val
837,837,currencyDataset/100_front/IMG20211229002830.jpg,100_front,val
3204,3204,currencyDataset/50_back/IMG20211228002355.jpg,50_back,val
1630,1630,currencyDataset/20_back/IMG20211228222122.jpg,20_back,val
2446,2446,currencyDataset/5000_front/IMG20220208014716.jpg,5000_front,val
3160,3160,currencyDataset/50_back/IMG20211228001328.jpg,50_back,val
298,298,currencyDataset/1000_front/IMG20211228232248.jpg,1000_front,val
2283,2283,currencyDataset/5000_back/IMG20220212171401.jpg,5000_back,val
2101,2101,currencyDataset/5000_back/IMG20211228012935.jpg,5000_back,val
2289,2289,currencyDataset/5000_back/IMG20220212171448.jpg,5000_back,val
1311,1311,currencyDataset/10_front/IMG20211228223345.jpg,10_front,val
1584,1584,currencyDataset/20_back/IMG20211228115651.jpg,20_back,val
1960,1960,currencyDataset/20_front/IMG20211230001424.jpg,20_front,val
1607,1607,currencyDataset/20_back/IMG20211228120058.jpg,20_back,val
3369,3369,currencyDataset/50_back/IMG20220212165509.jpg,50_back,val
360,360,currencyDataset/1000_front/IMG20211229233940.jpg,1000_front,val
925,925,currencyDataset/100_front/IMG20220209112830.jpg,100_front,val
844,844,currencyDataset/100_front/IMG20211229232459.jpg,100_front,val
1798,1798,currencyDataset/20_back/IMG20220215120348.jpg,20_back,val
1339,1339,currencyDataset/10_front/IMG20211228225841.jpg,10_front,val
3234,3234,currencyDataset/50_back/IMG20211228003723.jpg,50_back,val
3116,3116,currencyDataset/500_front/IMG20220218161816.jpg,500_front,val
532,532,currencyDataset/100_back/IMG20211229002959.jpg,100_back,val
211,211,currencyDataset/1000_back/IMG20220218160808.jpg,1000_back,val
2876,2876,currencyDataset/500_front/IMG20211228104347.jpg,500_front,val
1108,1108,currencyDataset/10_back/IMG20211228231144.jpg,10_back,val
2916,2916,currencyDataset/500_front/IMG20211228122320.jpg,500_front,val
2627,2627,currencyDataset/500_back/IMG20211228105024.jpg,500_back,val
1423,1423,currencyDataset/10_front/IMG20211229230603.jpg,10_front,val
398,398,currencyDataset/1000_front/IMG20220209114711.jpg,1000_front,val
2534,2534,currencyDataset/5000_front/IMG20220212171944.jpg,5000_front,val
2357,2357,currencyDataset/5000_front/IMG20211228012525.jpg,5000_front,val
3195,3195,currencyDataset/50_back/IMG20211228002310.jpg,50_back,val
2307,2307,currencyDataset/5000_back/IMG20220212171834.jpg,5000_back,val
1673,1673,currencyDataset/20_back/IMG20211229000655.jpg,20_back,val
3155,3155,currencyDataset/50_back/IMG20211228000716.jpg,50_back,val
3575,3575,currencyDataset/50_front/IMG20220209120423.jpg,50_front,val
1952,1952,currencyDataset/20_front/IMG20211229225934.jpg,20_front,val
1826,1826,currencyDataset/20_back/IMG20220218165322.jpg,20_back,val
340,340,currencyDataset/1000_front/IMG20211229233632.jpg,1000_front,val
1139,1139,currencyDataset/10_back/IMG20211229002417.jpg,10_back,val
1785,1785,currencyDataset/20_back/IMG20220215120245.jpg,20_back,val
1858,1858,currencyDataset/20_front/IMG20211228115204.jpg,20_front,val
274,274,currencyDataset/1000_front/IMG20211228231438.jpg,1000_front,val
608,608,currencyDataset/100_back/IMG20211230003014.jpg,100_back,val
15,15,currencyDataset/1000_back/IMG20211228225540.jpg,1000_back,val
2829,2829,currencyDataset/500_back/IMG20220218161857.jpg,500_back,val
2684,2684,currencyDataset/500_back/IMG20211228223057.jpg,500_back,val
1940,1940,currencyDataset/20_front/IMG20211229225849.jpg,20_front,val
3495,3495,currencyDataset/50_front/IMG20211228005117.jpg,50_front,val
4,4,currencyDataset/1000_back/IMG20211228225502.jpg,1000_back,val
1525,1525,currencyDataset/10_front/IMG20220215122030.jpg,10_front,val
873,873,currencyDataset/100_front/IMG20211230002558.jpg,100_front,val
2763,2763,currencyDataset/500_back/IMG20211229232112.jpg,500_back,val
132,132,currencyDataset/1000_back/IMG20211229235805.jpg,1000_back,val
2297,2297,currencyDataset/5000_back/IMG20220212171645.jpg,5000_back,val
772,772,currencyDataset/100_front/IMG20211228215726.jpg,100_front,val
2027,2027,currencyDataset/20_front/IMG20220215115651.jpg,20_front,val
579,579,currencyDataset/100_back/IMG20211229233045.jpg,100_back,val
1379,1379,currencyDataset/10_front/IMG20211228230753.jpg,10_front,val
1226,1226,currencyDataset/10_back/IMG20220209114327.jpg,10_back,val
2958,2958,currencyDataset/500_front/IMG20211228224336.jpg,500_front,val
1608,1608,currencyDataset/20_back/IMG20211228120105.jpg,20_back,val
975,975,currencyDataset/100_front/IMG20220215120945.jpg,100_front,val
1506,1506,currencyDataset/10_front/IMG20220209113910.jpg,10_front,val
3592,3592,currencyDataset/50_front/IMG20220212164723.jpg,50_front,val
176,176,currencyDataset/1000_back/IMG20220212172805.jpg,1000_back,val
2771,2771,currencyDataset/500_back/IMG20211229232133.jpg,500_back,val
3288,3288,currencyDataset/50_back/IMG20211228221008.jpg,50_back,val
2338,2338,currencyDataset/5000_front/IMG20211228012317.jpg,5000_front,val
2426,2426,currencyDataset/5000_front/IMG20211228234602.jpg,5000_front,val
2090,2090,currencyDataset/5000_back/IMG20211228012844.jpg,5000_back,val
3078,3078,currencyDataset/500_front/IMG20211229234544.jpg,500_front,val
2497,2497,currencyDataset/5000_front/IMG20220209121726.jpg,5000_front,val
3159,3159,currencyDataset/50_back/IMG20211228001324.jpg,50_back,val
1799,1799,currencyDataset/20_back/IMG20220215120351.jpg,20_back,val
1997,1997,currencyDataset/20_front/IMG20220212162528.jpg,20_front,val
2383,2383,currencyDataset/5000_front/IMG20211228013806.jpg,5000_front,val
154,154,currencyDataset/1000_back/IMG20220209115025.jpg,1000_back,val
1053,1053,currencyDataset/10_back/IMG20211228223856.jpg,10_back,val
2450,2450,currencyDataset/5000_front/IMG20220208014739.jpg,5000_front,val
2849,2849,currencyDataset/500_back/IMG20220218162047.jpg,500_back,val
493,493,currencyDataset/100_back/IMG20211228220415.jpg,100_back,val
2633,2633,currencyDataset/500_back/IMG20211228122625.jpg,500_back,val
1768,1768,currencyDataset/20_back/IMG20220215115903.jpg,20_back,val
2312,2312,currencyDataset/5000_back/IMG20220218162947.jpg,5000_back,val
1426,1426,currencyDataset/10_front/IMG20211229230632.jpg,10_front,val
2414,2414,currencyDataset/5000_front/IMG20211228234515.jpg,5000_front,val
2896,2896,currencyDataset/500_front/IMG20211228121956.jpg,500_front,val
2663,2663,currencyDataset/500_back/IMG20211228122856.jpg,500_back,val
1047,1047,currencyDataset/10_back/IMG20211228223836.jpg,10_back,val
1849,1849,currencyDataset/20_front/IMG20211228115125.jpg,20_front,val
1260,1260,currencyDataset/10_back/IMG20220215122726.jpg,10_back,val
3484,3484,currencyDataset/50_front/IMG20211228003325.jpg,50_front,val
70,70,currencyDataset/1000_back/IMG20211229001359.jpg,1000_back,val
3016,3016,currencyDataset/500_front/IMG20211228233514.jpg,500_front,val
241,241,currencyDataset/1000_front/IMG20211228225054.jpg,1000_front,val
2790,2790,currencyDataset/500_back/IMG20211229232239.jpg,500_back,val
2604,2604,currencyDataset/500_back/IMG20211228104836.jpg,500_back,val
3573,3573,currencyDataset/50_front/IMG20220209120418.jpg,50_front,val
3205,3205,currencyDataset/50_back/IMG20211228002431.jpg,50_back,val
2398,2398,currencyDataset/5000_front/IMG20211228013918.jpg,5000_front,val
1068,1068,currencyDataset/10_back/IMG20211228230318.jpg,10_back,val
3060,3060,currencyDataset/500_front/IMG20211229234429.jpg,500_front,val
2424,2424,currencyDataset/5000_front/IMG20211228234556.jpg,5000_front,val
918,918,currencyDataset/100_front/IMG20220209112733.jpg,100_front,val
1869,1869,currencyDataset/20_front/IMG20211228221318.jpg,20_front,val
1579,1579,currencyDataset/20_back/IMG20211228115628.jpg,20_back,val
2591,2591,currencyDataset/5000_front/IMG20220218162913.jpg,5000_front,val
2555,2555,currencyDataset/5000_front/IMG20220212172311.jpg,5000_front,val
905,905,currencyDataset/100_front/IMG20220209112505.jpg,100_front,val
3280,3280,currencyDataset/50_back/IMG20211228220922.jpg,50_back,val
1643,1643,currencyDataset/20_back/IMG20211228222243.jpg,20_back,val
1875,1875,currencyDataset/20_front/IMG20211228221351.jpg,20_front,val
2907,2907,currencyDataset/500_front/IMG20211228122201.jpg,500_front,val
701,701,currencyDataset/100_back/IMG20220215121602.jpg,100_back,val
3190,3190,currencyDataset/50_back/IMG20211228002249.jpg,50_back,val
514,514,currencyDataset/100_back/IMG20211228232950.jpg,100_back,val
3423,3423,currencyDataset/50_front/IMG20211228001029.jpg,50_front,val
575,575,currencyDataset/100_back/IMG20211229233028.jpg,100_back,val
2242,2242,currencyDataset/5000_back/IMG20220212170259.jpg,5000_back,val
1120,1120,currencyDataset/10_back/IMG20211229002229.jpg,10_back,val
2292,2292,currencyDataset/5000_back/IMG20220212171514.jpg,5000_back,val
3415,3415,currencyDataset/50_front/IMG20211228000922.jpg,50_front,val
2040,2040,currencyDataset/20_front/IMG20220215115815.jpg,20_front,val
3003,3003,currencyDataset/500_front/IMG20211228233327.jpg,500_front,val
3502,3502,currencyDataset/50_front/IMG20211228005151.jpg,50_front,val
2118,2118,currencyDataset/5000_back/IMG20211228013321.jpg,5000_back,val
2021,2021,currencyDataset/20_front/IMG20220215115602.jpg,20_front,val
3169,3169,currencyDataset/50_back/IMG20211228001420.jpg,50_back,val
2624,2624,currencyDataset/500_back/IMG20211228105017.jpg,500_back,val
1649,1649,currencyDataset/20_back/IMG20211229000505.jpg,20_back,val
906,906,currencyDataset/100_front/IMG20220209112509.jpg,100_front,val
3493,3493,currencyDataset/50_front/IMG20211228005110.jpg,50_front,val
1488,1488,currencyDataset/10_front/IMG20220209113643.jpg,10_front,val
2625,2625,currencyDataset/500_back/IMG20211228105020.jpg,500_back,val
3426,3426,currencyDataset/50_front/IMG20211228001106.jpg,50_front,val
410,410,currencyDataset/1000_front/IMG20220209114813.jpg,1000_front,val
3533,3533,currencyDataset/50_front/IMG20211228220635.jpg,50_front,val
2937,2937,currencyDataset/500_front/IMG20211228222546.jpg,500_front,val
12,12,currencyDataset/1000_back/IMG20211228225525.jpg,1000_back,val
174,174,currencyDataset/1000_back/IMG20220209115232.jpg,1000_back,val
3277,3277,currencyDataset/50_back/IMG20211228012120.jpg,50_back,val
88,88,currencyDataset/1000_back/IMG20211229001609.jpg,1000_back,val
1211,1211,currencyDataset/10_back/IMG20220209114155.jpg,10_back,val
3052,3052,currencyDataset/500_front/IMG20211229234400.jpg,500_front,val
282,282,currencyDataset/1000_front/IMG20211228231559.jpg,1000_front,val
1298,1298,currencyDataset/10_back/IMG20220218170506.jpg,10_back,val
3512,3512,currencyDataset/50_front/IMG20211228005231.jpg,50_front,val
2006,2006,currencyDataset/20_front/IMG20220212162700.jpg,20_front,val
1377,1377,currencyDataset/10_front/IMG20211228230747.jpg,10_front,val
2149,2149,currencyDataset/5000_back/IMG20211228234821.jpg,5000_back,val
1898,1898,currencyDataset/20_front/IMG20211228233930.jpg,20_front,val
3143,3143,currencyDataset/50_back/IMG20211228000522.jpg,50_back,val
3425,3425,currencyDataset/50_front/IMG20211228001059.jpg,50_front,val
538,538,currencyDataset/100_back/IMG20211229003035.jpg,100_back,val
842,842,currencyDataset/100_front/IMG20211229002855.jpg,100_front,val
3477,3477,currencyDataset/50_front/IMG20211228003251.jpg,50_front,val
2248,2248,currencyDataset/5000_back/IMG20220212170350.jpg,5000_back,val
2198,2198,currencyDataset/5000_back/IMG20220208015125.jpg,5000_back,val
362,362,currencyDataset/1000_front/IMG20211229235301.jpg,1000_front,val
638,638,currencyDataset/100_back/IMG20220209113154.jpg,100_back,val
3046,3046,currencyDataset/500_front/IMG20211229231821.jpg,500_front,val
1573,1573,currencyDataset/20_back/IMG20211228115602.jpg,20_back,val
3435,3435,currencyDataset/50_front/IMG20211228001816.jpg,50_front,val
2984,2984,currencyDataset/500_front/IMG20211228224549.jpg,500_front,val
122,122,currencyDataset/1000_back/IMG20211229234159.jpg,1000_back,val
3454,3454,currencyDataset/50_front/IMG20211228002543.jpg,50_front,val
3550,3550,currencyDataset/50_front/IMG20211228220805.jpg,50_front,val
993,993,currencyDataset/100_front/IMG20220218163708.jpg,100_front,val
1433,1433,currencyDataset/10_front/IMG20211229230744.jpg,10_front,val
307,307,currencyDataset/1000_front/IMG20211229000949.jpg,1000_front,val
3239,3239,currencyDataset/50_back/IMG20211228003750.jpg,50_back,val
2022,2022,currencyDataset/20_front/IMG20220215115606.jpg,20_front,val
944,944,currencyDataset/100_front/IMG20220212163713.jpg,100_front,val
3214,3214,currencyDataset/50_back/IMG20211228002819.jpg,50_back,val
881,881,currencyDataset/100_front/IMG20211230002625.jpg,100_front,val
2598,2598,currencyDataset/500_back/IMG20211228104814.jpg,500_back,val
3437,3437,currencyDataset/50_front/IMG20211228001831.jpg,50_front,val
3202,3202,currencyDataset/50_back/IMG20211228002342.jpg,50_back,val
1696,1696,currencyDataset/20_back/IMG20211229230215.jpg,20_back,val
80,80,currencyDataset/1000_back/IMG20211229001502.jpg,1000_back,val
2113,2113,currencyDataset/5000_back/IMG20211228013307.jpg,5000_back,val
2411,2411,currencyDataset/5000_front/IMG20211228234503.jpg,5000_front,val
1565,1565,currencyDataset/10_front/IMG20220218170055.jpg,10_front,val
2890,2890,currencyDataset/500_front/IMG20211228104558.jpg,500_front,val
1393,1393,currencyDataset/10_front/IMG20211229001842.jpg,10_front,val
3048,3048,currencyDataset/500_front/IMG20211229231826.jpg,500_front,val
836,836,currencyDataset/100_front/IMG20211229002825.jpg,100_front,val
